sku,barcode,name,category,track,price,costPrice,stock,reorderLevel,description,shortDescription,thcContent,cbdContent,strainType,effects,medicalUses,dosageInstructions,volume,weight,unit,brand,supplier,images,status,featured,tags
SKU001,6001234567890,Premium Sativa Flower,flower,lifestyle,450.00,250.00,100,20,"Premium indoor-grown Sativa strain with uplifting effects. Perfect for daytime use.","Uplifting Sativa - 3.5g",18,1,sativa,"Energetic, Creative, Focused","Anxiety, Depression, Fatigue","Start with 0.5g, increase as needed",3.5,3.5,grams,CBD Wellness 24,Local Grower,/images/weedicons/cannabis.png,active,true,"sativa,flower,premium,indoor"
SKU002,6001234567891,Indica Relaxation Flower,flower,lifestyle,480.00,270.00,80,15,"Premium Indica strain for deep relaxation and sleep support.","Relaxing Indica - 3.5g",20,2,indica,"Relaxing, Sleepy, Pain Relief","Insomnia, Chronic Pain, Anxiety","0.5-1g before bedtime",3.5,3.5,grams,CBD Wellness 24,Local Grower,/images/weedicons/bud.png,active,true,"indica,flower,sleep,relaxation"
SKU003,6001234567892,Hybrid Balance Flower,flower,lifestyle,465.00,260.00,120,25,"Balanced hybrid for versatile daytime and evening use.","Balanced Hybrid - 3.5g",16,3,hybrid,"Balanced, Uplifted, Calm","Stress, Pain, Appetite","0.5-1g as needed",3.5,3.5,grams,CBD Wellness 24,Local Grower,/images/weedicons/marijuana.png,active,false,"hybrid,flower,balanced"
SKU004,6001234567893,Pre-Rolled Sativa Joints (Pack of 5),pre-rolls,lifestyle,280.00,150.00,200,30,"5 perfectly rolled 0.5g Sativa joints. Convenient and ready to use.","Sativa Pre-Rolls x5",18,1,sativa,"Energetic, Social, Creative","Daytime relief, Focus","1 joint as needed",2.5,2.5,grams,CBD Wellness 24,In-house,/images/weedicons/joint.png,active,true,"pre-rolls,sativa,convenient"
SKU005,6001234567894,Pre-Rolled Indica Joints (Pack of 5),pre-rolls,lifestyle,280.00,150.00,180,30,"5 perfectly rolled 0.5g Indica joints for relaxation.","Indica Pre-Rolls x5",20,2,indica,"Relaxing, Sleepy, Pain Relief","Evening relief, Sleep","1 joint before bed",2.5,2.5,grams,CBD Wellness 24,In-house,/images/weedicons/joint.png,active,true,"pre-rolls,indica,relaxation"
SKU006,6001234567895,CBD Wellness Vape Cartridge,vapes,lifestyle,320.00,180.00,150,20,"High-quality CBD vape cartridge with natural terpenes.","CBD Vape Cart - 1ml",0.5,15,hybrid,"Calm, Focused, Clear-headed","Anxiety, Inflammation, Stress","2-3 puffs as needed",1,1,ml,CBD Wellness 24,Premium Extracts,/images/weedicons/cannabis-oil.png,active,true,"vape,cbd,cartridge"
SKU007,6001234567896,THC Vape Cartridge - Sativa,vapes,lifestyle,380.00,220.00,100,15,"Premium THC vape cartridge with Sativa terpene profile.","THC Sativa Vape - 1ml",70,5,sativa,"Energetic, Creative, Uplifted","Focus, Creativity, Mood","1-2 puffs, wait 5 minutes",1,1,ml,CBD Wellness 24,Premium Extracts,/images/weedicons/cannabis-oil.png,active,false,"vape,thc,sativa"
SKU008,6001234567897,Medical Grade Indica Flower,flower,medical,850.00,500.00,50,10,"Pharmaceutical-grade Indica flower for chronic pain management. Section 21 required.","Medical Indica - 5g",22,8,indica,"Deep Relaxation, Pain Relief, Sleep","Chronic Pain, PTSD, Insomnia","As prescribed by doctor",5,5,grams,Medical Cannabis SA,Licensed Producer,/images/weedicons/medical.png,active,true,"medical,indica,pain,prescription"
SKU009,6001234567898,Medical CBD Oil Tincture,oils,medical,650.00,380.00,60,12,"High-potency CBD oil for therapeutic use. Section 21 required.","Medical CBD Oil - 30ml",0.2,25,hybrid,"Calm, Pain Relief, Anti-inflammatory","Epilepsy, Inflammation, Anxiety","5-10 drops twice daily",30,30,ml,Medical Cannabis SA,Licensed Producer,/images/weedicons/cannabis-oil.png,active,true,"medical,cbd,oil,prescription"
SKU010,6001234567899,Medical THC:CBD Balanced Oil,oils,medical,720.00,420.00,40,8,"Balanced THC:CBD oil for comprehensive treatment. Section 21 required.","THC:CBD Oil - 30ml",12,12,hybrid,"Balanced Relief, Pain Management","Cancer Support, Chronic Pain, MS","Start low, titrate as prescribed",30,30,ml,Medical Cannabis SA,Licensed Producer,/images/weedicons/cannabis-oil.png,active,false,"medical,thc,cbd,oil,prescription"
SKU011,6001234567900,Premium Grinder - 4 Piece,accessories,public,180.00,90.00,300,50,"High-quality aluminum grinder with pollen catcher.","4-Piece Grinder",0,0,n/a,"N/A","N/A","N/A",1,150,grams,CBD Wellness 24,Accessories Co,/images/weedicons/bong.png,active,true,"accessories,grinder,aluminum"
SKU012,6001234567901,Rolling Papers - King Size (50 pack),accessories,public,45.00,20.00,500,100,"Premium slow-burn rolling papers.","King Size Papers x50",0,0,n/a,"N/A","N/A","N/A",1,25,grams,CBD Wellness 24,Paper Co,/images/weedicons/joint.png,active,false,"accessories,papers,rolling"
SKU013,6001234567902,Glass Storage Jar - 100ml,accessories,public,120.00,60.00,200,40,"UV-protective glass jar with airtight seal.","Storage Jar 100ml",0,0,n/a,"N/A","N/A","N/A",100,200,ml,CBD Wellness 24,Glass Works,/images/weedicons/bong.png,active,true,"accessories,storage,glass"
